cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
sample_0000,,WHO,Long COVID symptoms and patient recovery,10.1000/sample.0,PMC1000000,,cc-by-nc,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2020-12-03,"Anderson, L.; Thomas, P.; Jackson, D.",New England Journal of Medicine,mag_0,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_0,s2_0
sample_0001,,medRxiv,Economic implications of pandemic measures,,PMC1000001,30000001,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2021-01-18,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Science,mag_1,who_1,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_1,s2_1
sample_0002,,WHO,Mental health effects of COVID-19 lockdowns,10.1000/sample.2,PMC1000002,30000002,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2020-02-26,"White, C.; Harris, B.; Martin, E.",Nature Medicine,mag_2,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_2,s2_2
sample_0003,sha_0003,medRxiv,Epidemiological analysis of coronavirus spread,,,30000003,cc-by-nc,Research on pandemic response effectiveness and public health intervention strategies.,2020-09-10,"Lee, K.; Wang, L.; Chen, M.",Science,mag_3,who_3,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_3,s2_3
sample_0004,,WHO,Vaccine development and efficacy analysis,10.1000/sample.4,,30000004,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2021-08-19,"Lee, K.; Wang, L.; Chen, M.",JAMA,mag_4,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_4,s2_4
sample_0005,sha_0005,arXiv,Treatment protocols for severe COVID cases,,PMC1000005,,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2021-10-29,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Nature,mag_5,who_5,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_5,s2_5
sample_0006,sha_0006,Elsevier,Mental health effects of COVID-19 lockdowns,,PMC1000006,30000006,cc-by,Healthcare system capacity analysis during peak pandemic periods.,2020-05-18,"Thompson, G.; Garcia, H.; Martinez, I.",BMJ,mag_6,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_6,s2_6
sample_0007,sha_0007,Elsevier,Mental health effects of COVID-19 lockdowns,10.1000/sample.7,PMC1000007,30000007,cc-by,Epidemiological study of coronavirus transmission rates and infection patterns.,2022-08-16,"Smith, J.; Johnson, A.; Brown, K.",BMJ,mag_7,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_7,s2_7
sample_0008,,medRxiv,Clinical outcomes in COVID-19 patients,10.1000/sample.8,PMC1000008,30000008,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2020-07-10,"Anderson, L.; Thomas, P.; Jackson, D.",BMJ,mag_8,who_8,arxiv.8,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_8,s2_8
sample_0009,sha_0009,WHO,Ventilator management in COVID patients,10.1000/sample.9,,30000009,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2022-05-23,"Anderson, L.; Thomas, P.; Jackson, D.",BMJ,mag_9,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_9,s2_9
